Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
DevOps Engineer,InfoVision Inc.,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,176,DevOps Engineer,AI Adoption Affected
DevOps and Automation Engineer,NVIDIA,"Pune, Maharashtra, India",Mid-Senior level,Computer Hardware Manufacturing,200,DevOps Engineer,Automation Affected
DevOps Engineer,Cornerstone OnDemand,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,DevOps Engineer,Automation Affected
AWS DevOps Engineer - Docker/Kubernetes,Radioactive Technologies,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",148,DevOps Engineer,Automation Affected
DevOps Engineer L3,Wipro,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,102,DevOps Engineer,Low AI Impact
DevOps Engineer – AI Application Development,Emerson,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,200,DevOps Engineer,AI Adoption Affected
Platform Engineer - AWS,Rockwell Automation,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,200,DevOps Engineer,Automation Affected
DevOps Engineer,SourcingXPress,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",200,DevOps Engineer,Low AI Impact
Senior DevOps Engineer,Sensia Global,"Pune, Maharashtra, India",Mid-Senior level,Oil and Gas,101,DevOps Engineer,Automation Affected
DevOps Build and Release Engineer,Cencora,"Pune, Maharashtra, India",Mid-Senior level,Hospitals and Health Care,47,DevOps Engineer,Automation Affected
Senior DevOps Engineer,TRIARQ Health India,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,122,DevOps Engineer,Low AI Impact
Lead DevOps Engineer,Orion Innovation,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Automation Affected
Cloud DevOps Engineer,Align Technology,"Pune, Maharashtra, India",Mid-Senior level,Medical,200,DevOps Engineer,Low AI Impact
DevOps Lead Engineer/Architect,Persistent Systems,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Automation Affected
DevSecOps Engineer,Verto,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,98,DevOps Engineer,Automation Affected
Cloud Engineer II,Ideamine Technologies (Acquired by Netrix Global),"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,86,DevOps Engineer,Low AI Impact
Site Reliability Engineer - Intermediate,Equifax,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,200,DevOps Engineer,Automation Affected
AWS Cloud - Software Engineer,Siemens,"Pune, Maharashtra, India",Mid-Senior level,Automation Machinery Manufacturing,134,DevOps Engineer,Low AI Impact
Site Reliability Engineer - Intermediate,Equifax,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,200,DevOps Engineer,Automation Affected
Lead - Cloud Engineer,Ollion,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,43,DevOps Engineer,Low AI Impact
TechVerito Software Solutions - Cloud DevOps Engineer - IAC Terraform,TechVerito,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",107,DevOps Engineer,Low AI Impact
DevOps - Team Lead-DevOps-Engineering,EXL,"Pune, Maharashtra, India",Mid-Senior level,Business Consulting and Services,25,DevOps Engineer,Low AI Impact
Lead Site Reliability Engineer,EPAM Systems,"Pune, Maharashtra, India",Mid-Senior level,Software Development,25,DevOps Engineer,Automation Affected
Cloud DevOps Engineer,SourcingXPress,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",140,DevOps Engineer,Automation Affected
QA Automation Engineer,Convera,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,154,DevOps Engineer,Automation Affected
Senior DevOps Engineer,Global Payments Inc.,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,137,DevOps Engineer,Automation Affected
SDE II (Build & Release Engineer)- Remote,EDB,"Pune, Maharashtra, India",Mid-Senior level,Software Development,87,DevOps Engineer,Automation Affected
AWS Platform Engineer,Cummins India,"Pune, Maharashtra, India",Mid-Senior level,Manufacturing,200,DevOps Engineer,Automation Affected
Fullstack+Devops Engineer,SAS,"Pune, Maharashtra, India",Mid-Senior level,Software Development,30,DevOps Engineer,Automation Affected
Cloud Engineer,Ascentt,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,DevOps Engineer,Low AI Impact
Sr. Site Reliability Engineer - 10823,Exari Systems,"Pune, Maharashtra, India",Mid-Senior level,Software Development,25,DevOps Engineer,Low AI Impact
Site Reliability Engineer - Career,Equifax,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,135,DevOps Engineer,Automation Affected
Senior Systems Engineer - Cloud Operations,EPAM Systems,"Pune, Maharashtra, India",Mid-Senior level,Software Development,25,DevOps Engineer,Automation Affected
Cloud Engineer,Armor Defense,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Low AI Impact
Site Reliability Engineer,emagine,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Automation Affected
Senior Systems Engineer (Cloud.Azure),EPAM Systems,"Pune, Maharashtra, India",Mid-Senior level,Software Development,25,DevOps Engineer,Automation Affected
Site Reliability Engineer,PubMatic,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",108,DevOps Engineer,Automation Affected
DevOps Engineer,KSB Company,"Pune, Maharashtra, India",Mid-Senior level,Industrial Machinery Manufacturing,104,DevOps Engineer,Automation Affected
Site Reliability Engineering-Engineer II,FICO,"Pune, Maharashtra, India",Mid-Senior level,Software Development,113,DevOps Engineer,AI Adoption Affected
Senior Systems Engineer - Data DevOps/MLOps,EPAM Systems,"Pune, Maharashtra, India",Mid-Senior level,Software Development,25,DevOps Engineer,AI Adoption Affected
DevOps Engineer II,HackerRank,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,200,DevOps Engineer,Low AI Impact
Devops Engineer,"Revionics, an Aptos Company","Bengaluru, Karnataka, India",Mid-Senior level,Software Development,183,DevOps Engineer,AI Adoption Affected
DevOps/Infrastructure Engineer,NTT DATA North America,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Automation Affected
DevOps/Infrastructure Engineer,NTT DATA North America,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,186,DevOps Engineer,Automation Affected
Cloud Data Engineer,Ikigai,"Bengaluru, Karnataka, India",Mid-Senior level,Internet Publishing,200,DevOps Engineer,Low AI Impact
Cloud Engineer – AWS,Unisys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Automation Affected
Staff DevOps Engineer,SPAN,"Bengaluru, Karnataka, India",Mid-Senior level,Renewable Energy Equipment Manufacturing,44,DevOps Engineer,Low AI Impact
AWS Devops Lead,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
Infrastructure Specialist-AWS DevOps,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,110,DevOps Engineer,Low AI Impact
Infrastructure Specialist-AWS DevOps,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,77,DevOps Engineer,Low AI Impact
Senior DevOps Engineer,SPAN,"Bengaluru, Karnataka, India",Mid-Senior level,Renewable Energy Equipment Manufacturing,48,DevOps Engineer,Low AI Impact
Staff Devops Engineer,"Lytx, Inc.","Bengaluru, Karnataka, India",Mid-Senior level,Software Development,163,DevOps Engineer,AI Adoption Affected
Azure Devops Senior Developer,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Automation Affected
Software Engineer II (DevOps Engineer),Outcomes®,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,45,DevOps Engineer,Automation Affected
WXA4Z - Devops Engineer,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,33,DevOps Engineer,Automation Affected
Senior Specialist- DevOps Engineer,Nasdaq,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,DevOps Engineer,Automation Affected
Data Engineer ( Integration ) - GO/JC/1606/2025,Golden Opportunities,"Bengaluru, Karnataka, India",Mid-Senior level,Staffing and Recruiting,59,DevOps Engineer,Low AI Impact
AWS Support Engineer,Ingram Micro,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Low AI Impact
Senior DevOps Engineer (GCP),Verve,"Bengaluru, Karnataka, India",Mid-Senior level,Advertising Services,61,DevOps Engineer,Automation Affected
Sr. Cloud Engineer - AWS,Unisys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,71,DevOps Engineer,Low AI Impact
Python + AWS Senior Developer,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,AI Adoption Affected
Principal Site Reliability Engineer,Commonwealth Bank,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,106,DevOps Engineer,Low AI Impact
Staff Escalation DevOps Engineer,Zscaler,"Bengaluru, Karnataka, India",Mid-Senior level,Computer and Network Security,200,DevOps Engineer,Low AI Impact
Senior DevSecOps Engineer – AWS,Unisys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Automation Affected
Software Dev Ops Engineer II - Cloud Platform,Candescent,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,200,DevOps Engineer,Automation Affected
AI Engineer - AWS,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,AI Adoption Affected
Azure Systems Engineer Philippines or India 9 am - 6 pm UST EST,Slipstream IT,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
Sr.Site Reliability Engineer-DevOps,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,55,DevOps Engineer,Automation Affected
Software Engineer II - Cloud Platform,Candescent,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,168,DevOps Engineer,Automation Affected
Azure DevOps engineer with Data engineering,Unisys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,191,DevOps Engineer,Low AI Impact
Software Engineer,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,AI Adoption Affected
Senior Site Reliability Engineer,"Lytx, Inc.","Bengaluru, Karnataka, India",Mid-Senior level,Software Development,39,DevOps Engineer,Automation Affected
"Site Reliability Engineer - HashiCorp Network, Infrastructure Services",IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,28,DevOps Engineer,Automation Affected
PCC Developer,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
Azure Devops Lead Consultant,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,39,DevOps Engineer,Low AI Impact
Senior Staff Site Reliability Engineer,Zscaler,"Bengaluru, Karnataka, India",Mid-Senior level,Computer and Network Security,172,DevOps Engineer,Low AI Impact
"Sr Site Reliability Engineer - Middleware, DevOps & Cloud",Visa,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,131,DevOps Engineer,Low AI Impact
Staff Site Reliability Engineer Staff Site Reliability Engineer (Linux/Network troubleshooting/Scripting),Zscaler,"Bengaluru, Karnataka, India",Mid-Senior level,Computer and Network Security,93,DevOps Engineer,Automation Affected
Data Engineer-Data Platforms-AWS,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,154,DevOps Engineer,Low AI Impact
"Sr Software Engineer - DevOps, Azure, CI/CD, Github",Blue Yonder,"Bengaluru, Karnataka, India",Mid-Senior level,Software Development,25,DevOps Engineer,AI Adoption Affected
Data Engineer-Data Platforms-AWS,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
"Site Reliability Engineer - Sr. Consultant Level - Linux, Observability, Containers",Visa,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,Automation Affected
Software Engineer - Cloud Database,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,47,DevOps Engineer,Low AI Impact
Application Support Lead SRE,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
AI Ops Engineer - Azure Stack,DXC Consulting & Engineering Services,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,AI Adoption Affected
Data Engineer-Data Platforms-Azure,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,200,DevOps Engineer,AI Adoption Affected
Platform Engineer - Murex,Commonwealth Bank,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,25,DevOps Engineer,Automation Affected
Application Developer-AWS Cloud FullStack,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,29,DevOps Engineer,Low AI Impact
GCP Devops Lead,Infosys,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
Build Automation Engineer – Embedded Systems,SPAN,"Bengaluru, Karnataka, India",Mid-Senior level,Renewable Energy Equipment Manufacturing,25,DevOps Engineer,Automation Affected
Application Developer-AWS Cloud FullStack,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
Software Engineer IV - Cloud Platform,Candescent,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,27,DevOps Engineer,Automation Affected
Data Engineer-Data Platforms-Azure,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,37,DevOps Engineer,Low AI Impact
Software Engineer IV - Cloud Platform,Candescent,"Bengaluru, Karnataka, India",Mid-Senior level,Financial Services,33,DevOps Engineer,Automation Affected
Platform Engineer II - HashiCorp Cloud Platform Services,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Automation Affected
Application Developer-Microsoft Cloud,IBM,"Bengaluru, Karnataka, India",Mid-Senior level,IT Services and IT Consulting,25,DevOps Engineer,Low AI Impact
AI Engineer Intern,Rivi,India,Entry level,Software Development,79,Generative AI,AI Adoption Affected
Analyst,dentsu,"Bengaluru, Karnataka, India",Entry level,Advertising Services,157,Generative AI,AI Adoption Affected
Intership,HARMAN India,"Bengaluru, Karnataka, India",Entry level,Computers and Electronics Manufacturing,73,Generative AI,AI Adoption Affected
Gen AI Creative Artist,AVGC Studios,"Noida, Uttar Pradesh, India",Entry level,Animation and Post-production,30,Generative AI,AI Adoption Affected
AI Presales Intern (2025 or 2026 Graduates only),techolution,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,105,Generative AI,AI Adoption Affected
Web Data Scraping Intern,Stylumia,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Generative AI,Low AI Impact
Live Project Cohort | Build the Next-Gen AI ATS,RECRIVIO,India,Entry level,"Technology, Information and Internet",200,Generative AI,AI Adoption Affected
Software Development Engineer in Test,apna,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,137,Generative AI,Automation Affected
Video Editing/Making Internship in Delhi (Hybrid),CodSphere,"Delhi, India",Entry level,"Movies, Videos, and Sound and Media Production",29,Generative AI,Low AI Impact
Backend Engineer Intern,Rivi,India,Entry level,Software Development,69,Generative AI,AI Adoption Affected
Frontend Engineer Intern,Rivi,India,Entry level,Software Development,142,Generative AI,Low AI Impact
"Policy Research Internship in Sanganer, Jaipur, Chaksu",Sajal Bhardwaj,"Sanganer, Rajasthan, India",Entry level,Human Resources Services,25,Generative AI,AI Adoption Affected
Designer Intern – Content Creation & Social Media Management,Brainwire Analytics,"Kochi, Kerala, India",Entry level,Business Consulting and Services,25,Generative AI,Low AI Impact
"Policy Research Internship in Sanganer, Jaipur, Chaksu",Sajal Bhardwaj,"Jaipur, Rajasthan, India",Entry level,Human Resources Services,25,Generative AI,AI Adoption Affected
"Policy Research Internship in Sanganer, Jaipur, Chaksu",Sajal Bhardwaj,"Chaksu, Rajasthan, India",Entry level,Human Resources Services,25,Generative AI,AI Adoption Affected
Gen AI Consulting,Infosys,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Gen AI Lead,Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Gen AI Consultant,Infosys,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Generative AI,Low AI Impact
Gen AI Analyst,Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Generative AI,Low AI Impact
Gen AI Lead,Infosys,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,60,Generative AI,AI Adoption Affected
Gen AI Developer,Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Gen AI Developer,Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,158,Generative AI,AI Adoption Affected
Analyst-Data Science,American Express,"Gurgaon, Haryana, India",Entry level,Financial Services,200,Generative AI,AI Adoption Affected
"Generative AI, Python",Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Gen AI Developer,ITC Infotech,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Generative AI,Low AI Impact
Assistant Manager - Gen AI,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,46,Generative AI,Low AI Impact
Gen AI (LLM/ML) - GO/JC/1549/2025,Golden Opportunities,"Sadar, Uttar Pradesh, India",Entry level,Staffing and Recruiting,200,Generative AI,AI Adoption Affected
Assistant Manager - Gen AI,KPMG India,"Bengaluru, Karnataka, India",Entry level,Business Consulting and Services,36,Generative AI,Low AI Impact
Generative AI -Tech support & Development,Aditya Birla Group,"Thane, Maharashtra, India",Entry level,Accounting,200,Generative AI,AI Adoption Affected
Database Developer GEN AI and Python,Wipro,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,73,Generative AI,Low AI Impact
Assistant Manager - Gen AI,KPMG India,"Mumbai, Maharashtra, India",Entry level,Business Consulting and Services,49,Generative AI,Low AI Impact
"Gen AI, Observability & RCA Consultants",Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Freshers Opportunity in GEN AI - Annotation | Labeling | Prompt,Zensar Technologies,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Artificial Intelligence Engineer,HiroJet,"Mumbai, Maharashtra, India",Entry level,Software Development,200,Generative AI,AI Adoption Affected
Gen AI developer - GO/JC/1437/2025,Golden Opportunities,"Bengaluru, Karnataka, India",Entry level,Staffing and Recruiting,200,Generative AI,AI Adoption Affected
Artificial Intelligence Engineer,Codesis Technologies Private Limited,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Product Manager - Gen AI,Exotel,"Gurgaon, Haryana, India",Entry level,Telecommunications,200,Generative AI,AI Adoption Affected
AI Developer,Quest Global,"Bengaluru, Karnataka, India",Entry level,Engineering Services,200,Generative AI,AI Adoption Affected
Engineer Generative AI,Magna International,"Bengaluru, Karnataka, India",Entry level,Motor Vehicle Manufacturing,200,Generative AI,AI Adoption Affected
Data Analyst,Grid Dynamics,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Credit Risk Analyst – Automation & Analytics,American Express,"Gurgaon, Haryana, India",Entry level,Financial Services,163,Generative AI,Automation Affected
Gen AI Prompt Engineer,eProSoft,India,Entry level,Software Development,200,Generative AI,AI Adoption Affected
Infra AI Automation Programmers,Infosys,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
"Business Development Manager- Gen AI, Data Analytics, AI/ML",Tech Data APAC,"Delhi, India",Entry level,IT Services and IT Consulting,25,Generative AI,Low AI Impact
AI Platform Engineer,NTT DATA North America,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,48,Generative AI,AI Adoption Affected
AI Platform Engineer,NTT DATA North America,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,58,Generative AI,AI Adoption Affected
Oracle Gen AI - Associate 2,PwC Acceleration Center India,"Bengaluru, Karnataka, India",Entry level,Professional Services,25,Generative AI,AI Adoption Affected
"Business Development Manager- Gen AI, Data Analytics, GPU",Tech Data APAC,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,Automation Affected
"Business Development Manager- Gen AI, Data Analytics, GPU",Tech Data APAC,"Mumbai, Maharashtra, India",Entry level,IT Services and IT Consulting,25,Generative AI,Automation Affected
S&C Global Network - AI - Software & Platform - Gen AI - Analyst,Accenture in India,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,133,Generative AI,Low AI Impact
Credit Risk Analyst – Automation & Analytics,hackajob,"Gurgaon, Haryana, India",Entry level,Software Development,38,Generative AI,Automation Affected
"Business Development Manager- Gen AI, Data Analytics, GPU",Tech Data APAC,"Delhi, India",Entry level,IT Services and IT Consulting,25,Generative AI,Automation Affected
"Business Development Manager- Gen AI, Data Analytics, GPU",Tech Data APAC,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,25,Generative AI,Automation Affected
Technical Business Analyst with Data Science,ITC Infotech,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
 DevOps/MLOps Engineer ,Donaldson,"Gurgaon, Haryana, India",Entry level,"Technology, Information and Internet",200,Generative AI,AI Adoption Affected
AI ENGINEERING SPECIALIST - AI ENGINEERING SPECIALIST,Happiest Minds Technologies,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,103,Generative AI,AI Adoption Affected
S&C GN - Tech Strategy & Advisory - TA - Gen AI & Data - Analyst,Accenture in India,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,Low AI Impact
"Software Engineer, Python",Adform,"Mumbai, Maharashtra, India",Entry level,"Technology, Information and Internet",200,Generative AI,AI Adoption Affected
Gen AI Engineer – AWS,Excellence and Eminence LLP,"Bengaluru, Karnataka, India",Entry level,Industrial Machinery Manufacturing,25,Generative AI,AI Adoption Affected
"Business Development Manager- Gen AI, Data Analytics, GPU",Tech Data APAC,"Chennai, Tamil Nadu, India",Entry level,IT Services and IT Consulting,25,Generative AI,Automation Affected
Gen AI Credit Risk -Manager - Bangalore,PwC Acceleration Center India,"Bengaluru, Karnataka, India",Entry level,Professional Services,25,Generative AI,AI Adoption Affected
Senior Machine Learning Engineer,Eightfold AI,"Bengaluru, Karnataka, India",Entry level,Software Development,130,Generative AI,AI Adoption Affected
Associate Product Manager,Binocs.co,"Bengaluru, Karnataka, India",Entry level,Banking,200,Generative AI,Low AI Impact
Generative AI Engineer - LLM Models,Techify Solutions Pvt Ltd,"Bengaluru, Karnataka, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,Generative AI,AI Adoption Affected
Specialist II - Data Science,UST,"Kolkata, West Bengal, India",Entry level,IT Services and IT Consulting,101,Generative AI,AI Adoption Affected
Junior Ai Video Creator,Art Technology and Software,"Kochi, Kerala, India",Entry level,IT Services and IT Consulting,25,Generative AI,Low AI Impact
Enterprise Sales Executive,Fonada,"Mumbai, Maharashtra, India",Entry level,Telecommunications,68,Generative AI,Low AI Impact
Member of Technical Staff 2 (Backend),Adobe,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Generative AI,AI Adoption Affected
Junior Software Developer (Full Stack – React / Next.js / Node.js / TypeScript),Acowale,"Bengaluru, Karnataka, India",Entry level,Software Development,200,Generative AI,Low AI Impact
GenAI Engineer,Magna International,"Bengaluru, Karnataka, India",Entry level,Motor Vehicle Manufacturing,200,Generative AI,AI Adoption Affected
Customer Success Manager,Cohesity,"Pune, Maharashtra, India",Entry level,Software Development,200,Generative AI,Low AI Impact
🌟 IT Recruiter - Walk-in Drive 🌟,Arohana Tech Solutions Private Limited,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,Low AI Impact
S&C Global Network - AI - Conversational AI – Analyst,Accenture in India,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Deputy Manager - Digital Platforms,Bajaj Finserv,"Pune, Maharashtra, India",Entry level,Financial Services,37,Generative AI,AI Adoption Affected
GEN AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Gen AI Instructor,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,127,Generative AI,AI Adoption Affected
GEN AI Instructor,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,181,Generative AI,AI Adoption Affected
Gen-AI Trainer,NxtWave,"Hyderabad, Telangana, India",Associate,Education Administration Programs,200,Generative AI,AI Adoption Affected
Python GEN AI Developer,Virtusa,"Pune, Maharashtra, India",Associate,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Data Research Analyst,Juego Studios,"Bengaluru, Karnataka, India",Associate,Computer Games,200,Generative AI,AI Adoption Affected
Gen AI Testing,Virtusa,"Chennai, Tamil Nadu, India",Associate,IT Services and IT Consulting,82,Generative AI,Low AI Impact
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,128,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,25,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,106,Generative AI,AI Adoption Affected
Gen AI Scientist ,ITC Infotech,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,77,Generative AI,AI Adoption Affected
AI Engineer,Aon,"Bengaluru, Karnataka, India",Associate,Financial Services,127,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,53,Generative AI,AI Adoption Affected
Data Scientist (Gen AI),Schaeffler,"Pune, Maharashtra, India",Associate,Manufacturing,172,Generative AI,Automation Affected
Gen AI Engineer/Senior Gen AI Engineer,Piramal Finance,"Bengaluru, Karnataka, India",Associate,Financial Services,200,Generative AI,AI Adoption Affected
Gen AI Architect,EPAM Systems,"Bengaluru, Karnataka, India",Associate,Software Development,28,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,87,Generative AI,Low AI Impact
Developer (Gen AI),Tata Consultancy Services,"Pune, Maharashtra, India",Associate,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
AI Engineer,Tata Consultancy Services,"Hyderabad, Telangana, India",Associate,IT Services and IT Consulting,200,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,26,Generative AI,AI Adoption Affected
Gen AI,Virtusa,"Andhra Pradesh, India",Associate,IT Services and IT Consulting,29,Generative AI,AI Adoption Affected
Gen AI Engineer,ADP,"Hyderabad, Telangana, India",Associate,Human Resources Services,200,Generative AI,AI Adoption Affected
Gen AI Architect,EPAM Systems,"Hyderabad, Telangana, India",Associate,Software Development,25,Generative AI,AI Adoption Affected
